date,price,open,high,low,volume,change
2011-08-02,8467.5,8462.5,8472.5,8457.5,,0.0009
2011-08-01,8460.0,8493.0,8493.0,8460.0,,-0.0047
2011-07-29,8500.0,8505.0,8515.0,8496.0,,0.0001
2011-07-28,8499.0,8491.0,8510.0,8491.0,,0.0014
2011-07-27,8487.5,8492.5,8493.5,8482.5,,-0.0021
2011-07-26,8505.0,8529.0,8529.0,8500.0,,-0.0021
2011-07-25,8523.0,8530.0,8536.0,8523.0,,-0.0005
2011-07-22,8527.0,8525.0,8533.0,8525.0,,-0.0008
2011-07-21,8534.0,8540.0,8544.0,8534.0,,-0.0001
2011-07-20,8535.0,8550.0,8550.0,8535.0,,-0.0015
2011-07-19,8547.5,8542.5,8562.5,8542.5,,-0.0012
2011-07-18,8558.0,8550.0,8568.0,8550.0,,0.0028
2011-07-15,8534.0,8530.0,8553.0,8530.0,,0.0002
2011-07-14,8532.0,8542.0,8542.0,8527.0,,-0.0018
2011-07-13,8547.5,8557.5,8567.5,8547.5,,-0.0023
2011-07-12,8567.0,8540.0,8580.0,8538.0,,0.0048
2011-07-11,8526.0,8526.0,8530.0,8517.0,,0.0016
2011-07-08,8512.5,8522.5,8527.5,8512.5,,-0.0025
2011-07-07,8533.5,8536.5,8541.5,8531.5,,-0.0008
2011-07-06,8540.0,8538.0,8540.0,8527.0,,0.0003
2011-07-05,8537.5,8527.5,8545.5,8527.5,,0.0018
2011-07-04,8522.5,8527.5,8527.5,8512.5,,-0.0027
2011-07-01,8545.5,8575.5,8575.5,8540.5,,-0.0036
2011-06-30,8576.5,8598.5,8603.5,8576.5,,-0.0047
2011-06-29,8617.0,8617.0,8617.0,8617.0,,0.0
